id,fname,lname,gender,age,nationality,airport_name,country_code,country_name,continent_code,continent_name,departure_date,airport_code,pilot_name,status,
ABVWIg,Edithe,Leggis,Female,62,Japan,Coldfoot Airport,US,United States,NAM,North America,6/28/2022,CXF,Fransisco Hazeldine,On Time,
jkXXAX,Elwood,Catt,Male,62,Nicaragua,Kugluktuk Airport,CA,Canada,NAM,North America,02.05.7268,YCO,Marla Parsonage,On Time,
CdUz2g,Darby,Felgate,Male,67,Russia,Grenoble-Isère Airport,FR,France,EU,Europe,1/18/2022,GNB,Rhonda Amber,On Time,
BRS38V,Dominica,Pyle,Female,71,China,Ottawa / Gatineau Airport,CA,Canada,NAM,North America,9/16/2022,YND,Kacie Commucci,Delayed,
9kvTLo,Bay,Pencost,Male,21,China,Gillespie Field,US,United States,NAM,North America,2/25/2022,SEE,Ebonee Tree,On Time,
nMJKVh,Lora,Durbann,Female,55,Brazil,Coronel Horácio de Mattos Airport,BR,Brazil,SAM,South America,-2282854,LEC,Inglis Dolley,On Time,
8IPFPE,Rand,Bram,Male,73,Ivory Coast,Duxford Aerodrome,GB,United Kingdom,EU,Europe,23.09.7252,QFO,Stanislas Tiffin,Cancelled,
pqixbY,Perceval,Dallosso,Male,36,Vietnam,Maestro Wilson Fonseca Airport,BR,Brazil,SAM,South America,-2365053,STM,Sharyl Eastmead,Cancelled,
QNAs2R,Aleda,Pigram,Female,35,Palestinian Territory,Venice Marco Polo Airport,IT,Italy,EU,Europe,8/20/2022,VCE,Daryn Bardsley,On Time,
3jmudz,Burlie,Schustl,Male,13,Thailand,Vermilion Airport,CA,Canada,NAM,North America,-2368053,YVG,Alameda Carlyle,On Time,
2P41gZ,Porty,Jori,Male,39,Tunisia,Nuevo Casas Grandes Airport,MX,Mexico,NAM,North America,5/27/2022,NCG,Rasia Fidelus,Cancelled,
sBf524,Briant,De La Haye,Male,71,Russia,Ruben Cantu Airport,PA,Panama,NAM,North America,-2441153,SYP,Alina Flooks,Delayed,
PlwJZT,Kalie,Scoble,Female,47,Sweden,Loralai Airport,PK,Pakistan,AS,Asia,3/19/2022,LRG,Madelena Lennarde,Delayed,
iU75x3,Catriona,Beaument,Female,77,Russia,Cudal Airport,AU,Australia,OC,Oceania,3/24/2022,CUG,Margie Beal,Delayed,
GUta6R,Amberly,Handling,Female,32,China,Farmington Regional Airport,US,United States,NAM,North America,-2401653,FAM,Lothaire Eades,Delayed,
8qA80a,Dyna,De'Vere - Hunt,Female,22,China,Oudtshoorn Airport,ZA,South Africa,AF,Africa,7/18/2022,OUH,Neila Giercke,Cancelled,
2haCDu,Janella,Hardaker,Female,28,Colombia,Zaraza Airport,VE,"Venezuela, Bolivarian Republic of",SAM,South America,9/23/2022,ZRZ,Shaylynn Alcott,On Time,
WiVl8o,Alvin,Wenzel,Male,12,Greece,Enshi Airport,CN,China,AS,Asia,3/29/2022,ENH,Alfie MacMorland,Delayed,
e0H5LI,Jerrine,Peeters,Female,87,Philippines,Thompson Airport,CA,Canada,NAM,North America,-2121654,YTH,Chandra Dyhouse,Cancelled,
nL8kyD,Warner,Driutti,Male,62,China,Guilin Liangjiang International Airport,CN,China,AS,Asia,-2188554,KWL,Marita Holtom,Cancelled,
9iT79e,Paige,Hayhow,Male,24,Sweden,Crested Butte Airpark,US,United States,NAM,North America,2/19/2022,CSE,Clyde Winn,Delayed,
kEARqP,Dorisa,Skill,Female,19,Ukraine,St Augustin Airport,CA,Canada,NAM,North America,-2115554,YIF,Ilyse Bartleman,Cancelled,
dx3NWh,Bobbye,Patmore,Female,45,China,Port Bergé Airport,MG,Madagascar,AF,Africa,8/24/2022,WPB,Stella Pittham,On Time,
